start_station_id,hour,day_of_week,day_of_month,weekend,workingday,is_rush_hour,demand
BK-B7,12,7,7,1,0,0,1
BK-B7,12,7,14,1,0,0,1
BK-B7,13,1,15,1,0,0,1
BK-B7,13,1,22,1,0,0,1
BK-B7,13,1,29,1,0,0,1
BK-B7,13,2,16,0,1,0,1
BK-B7,13,3,24,0,1,0,1
BK-B7,13,5,12,0,1,0,2
BK-B7,13,5,19,0,1,0,2
BK-B7,13,6,6,0,1,0,1
BK-B7,13,7,14,1,0,0,4
BK-B7,13,7,21,1,0,0,1
BK-B7,14,1,29,1,0,0,1
BK-B7,14,2,30,0,1,0,1
BK-B7,14,3,3,0,1,0,2
BK-B7,14,3,24,0,1,0,1
BK-B7,14,5,19,0,1,0,1
BK-B7,14,6,6,0,1,0,1
BK-B7,14,6,13,0,1,0,1
BK-B7,14,6,20,0,1,0,1
BK-B7,14,7,7,1,0,0,1
BK-B7,15,2,16,0,1,0,1
BK-B7,15,2,23,0,1,0,1
BK-B7,15,3,3,0,1,0,1
BK-B7,15,3,17,0,1,0,1
BK-B7,15,5,12,0,1,0,1
BK-B7,15,5,19,0,1,0,1
BK-B7,15,7,14,1,0,0,1
BK-B7,16,2,2,0,1,0,1
BK-B7,16,6,27,0,1,0,1
BK-B7,17,1,15,1,0,1,2
BK-B7,17,4,18,0,1,1,1
BK-B7,17,7,14,1,0,1,1
BK-B7,18,1,1,1,0,1,1
BK-B7,18,1,22,1,0,1,1
BK-B7,18,3,24,0,1,1,2
BK-B7,18,4,18,0,1,1,1
BK-B7,18,5,12,0,1,1,2
BK-B7,18,6,6,0,1,1,2
BK-B7,18,7,28,1,0,1,1
BK-B7,19,1,1,1,0,1,1
BK-B7,19,2,2,0,1,1,1
BK-B7,19,4,4,0,1,1,1
BK-B7,19,5,5,0,1,1,2
BK-B7,19,6,13,0,1,1,1
BK-B7,19,6,20,0,1,1,2
BK-B7,19,6,27,0,1,1,1
BK-B7,19,7,28,1,0,1,1
BK-B7,20,2,9,0,1,0,1
BK-B7,20,2,16,0,1,0,1
BK-B7,20,2,23,0,1,0,1
BK-B7,20,5,26,0,1,0,1
BK-B7,21,2,30,0,1,0,1
BK-B7,21,3,24,0,1,0,1
BK-B7,21,4,11,0,1,0,1
BK-B7,21,5,12,0,1,0,2
BK-B7,21,5,19,0,1,0,2
BK-B7,21,7,14,1,0,0,1
BK-B7,21,7,28,1,0,0,1
BK-B7,22,7,21,1,0,0,1
BK-C1,0,7,21,1,0,0,1
BK-C1,8,1,15,1,0,1,1
BK-C1,8,2,2,0,1,1,1
BK-C1,8,2,9,0,1,1,1
BK-C1,8,2,16,0,1,1,1
BK-C1,8,3,3,0,1,1,1
BK-C1,8,3,10,0,1,1,2
BK-C1,8,3,17,0,1,1,1
BK-C1,8,4,4,0,1,1,1
BK-C1,8,4,18,0,1,1,1
BK-C1,8,4,25,0,1,1,1
BK-C1,8,5,5,0,1,1,1
BK-C1,8,5,12,0,1,1,1
BK-C1,8,5,26,0,1,1,1
BK-C1,8,6,6,0,1,1,1
BK-C1,8,6,13,0,1,1,1
BK-C1,8,6,20,0,1,1,1
BK-C1,9,3,10,0,1,1,1
BK-C1,9,5,12,0,1,1,1
BK-C1,9,6,6,0,1,1,1
BK-C1,9,6,27,0,1,1,1
BK-C1,9,7,14,1,0,1,1
BK-C1,10,3,24,0,1,0,1
BK-C1,10,5,19,0,1,0,1
BK-C1,10,6,6,0,1,0,1
BK-C1,10,7,21,1,0,0,2
BK-C1,11,1,15,1,0,0,2
BK-C1,11,5,19,0,1,0,2
BK-C1,11,5,26,0,1,0,1
BK-C1,11,6,27,0,1,0,1
BK-C1,11,7,7,1,0,0,1
BK-C1,11,7,14,1,0,0,1
BK-C1,12,1,8,1,0,0,1
BK-C1,12,1,29,1,0,0,1
BK-C1,12,2,16,0,1,0,1
BK-C1,12,4,4,0,1,0,1
BK-C1,12,4,11,0,1,0,1
BK-C1,12,4,18,0,1,0,1
BK-C1,12,6,13,0,1,0,1
BK-C1,12,7,14,1,0,0,1
BK-C1,13,1,22,1,0,0,1
BK-C1,13,1,29,1,0,0,2
BK-C1,13,2,30,0,1,0,3
BK-C1,13,3,10,0,1,0,3
BK-C1,13,6,6,0,1,0,1
BK-C1,13,6,20,0,1,0,2
BK-C1,13,6,27,0,1,0,1
BK-C1,13,7,7,1,0,0,1
BK-C1,13,7,14,1,0,0,1
BK-C1,14,1,1,1,0,0,1
BK-C1,14,4,11,0,1,0,1
BK-C1,14,5,5,0,1,0,2
BK-C1,14,5,19,0,1,0,3
BK-C1,14,5,26,0,1,0,1
BK-C1,14,6,6,0,1,0,1
BK-C1,14,6,13,0,1,0,1
BK-C1,14,7,28,1,0,0,2
BK-C1,15,1,15,1,0,0,2
BK-C1,15,1,22,1,0,0,1
BK-C1,15,2,9,0,1,0,1
BK-C1,15,4,4,0,1,0,1
BK-C1,15,4,25,0,1,0,2
BK-C1,15,5,5,0,1,0,1
BK-C1,15,6,13,0,1,0,1
BK-C1,15,6,20,0,1,0,1
BK-C1,15,6,27,0,1,0,1
BK-C1,15,7,7,1,0,0,2
BK-C1,15,7,21,1,0,0,1
BK-C1,16,1,15,1,0,0,1
BK-C1,16,1,29,1,0,0,1
BK-C1,16,3,3,0,1,0,1
BK-C1,16,3,10,0,1,0,1
BK-C1,16,3,24,0,1,0,1
BK-C1,16,4,18,0,1,0,1
BK-C1,16,4,25,0,1,0,1
BK-C1,16,5,12,0,1,0,3
BK-C1,16,5,19,0,1,0,1
BK-C1,16,6,6,0,1,0,1
BK-C1,16,7,28,1,0,0,1
BK-C1,17,1,1,1,0,1,1
BK-C1,17,1,8,1,0,1,1
BK-C1,17,1,15,1,0,1,1
BK-C1,17,1,22,1,0,1,1
BK-C1,17,1,29,1,0,1,1
BK-C1,17,2,30,0,1,1,2
BK-C1,17,3,10,0,1,1,1
BK-C1,17,3,24,0,1,1,2
BK-C1,17,4,4,0,1,1,1
BK-C1,17,4,11,0,1,1,1
BK-C1,17,4,25,0,1,1,1
BK-C1,17,5,5,0,1,1,2
BK-C1,17,5,26,0,1,1,3
BK-C1,17,6,6,0,1,1,1
BK-C1,17,6,13,0,1,1,1
BK-C1,17,6,20,0,1,1,1
BK-C1,17,7,14,1,0,1,2
BK-C1,17,7,28,1,0,1,1
BK-C1,18,1,29,1,0,1,1
BK-C1,18,2,2,0,1,1,3
BK-C1,18,2,16,0,1,1,1
BK-C1,18,2,30,0,1,1,1
BK-C1,18,3,3,0,1,1,1
BK-C1,18,3,17,0,1,1,1
BK-C1,18,3,24,0,1,1,1
BK-C1,18,4,4,0,1,1,1
BK-C1,18,4,18,0,1,1,1
BK-C1,18,4,25,0,1,1,2
BK-C1,18,5,12,0,1,1,1
BK-C1,18,6,6,0,1,1,3
BK-C1,18,6,13,0,1,1,1
BK-C1,18,6,20,0,1,1,1
BK-C1,18,6,27,0,1,1,3
BK-C1,18,7,21,1,0,1,1
BK-C1,19,1,8,1,0,1,1
BK-C1,19,1,15,1,0,1,1
BK-C1,19,1,22,1,0,1,1
BK-C1,19,2,2,0,1,1,1
BK-C1,19,2,9,0,1,1,1
BK-C1,19,2,30,0,1,1,1
BK-C1,19,3,24,0,1,1,1
BK-C1,19,4,11,0,1,1,1
BK-C1,19,4,25,0,1,1,2
BK-C1,19,5,19,0,1,1,1
BK-C1,19,5,26,0,1,1,2
BK-C1,19,6,13,0,1,1,2
BK-C1,19,6,20,0,1,1,1
BK-C1,19,6,27,0,1,1,1
BK-C1,19,7,7,1,0,1,1
BK-C1,19,7,28,1,0,1,1
BK-C1,20,2,23,0,1,0,1
BK-C1,20,5,19,0,1,0,1
BK-C1,21,3,24,0,1,0,1
BK-C1,22,6,13,0,1,0,2
BK-C1,23,7,21,1,0,0,1
BK-C5,0,1,1,1,0,0,1
BK-C5,0,4,25,0,1,0,1
BK-C5,0,7,14,1,0,0,2
BK-C5,1,6,27,0,1,0,1
BK-C5,6,7,7,1,0,0,1
BK-C5,7,1,8,1,0,1,1
BK-C5,7,1,22,1,0,1,1
BK-C5,7,2,16,0,1,1,1
BK-C5,7,3,3,0,1,1,1
BK-C5,7,4,18,0,1,1,1
BK-C5,7,5,19,0,1,1,1
BK-C5,7,6,13,0,1,1,1
